filename	read_id	run_id	channel	start_time	duration	num_events	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	barcode_arrangement	barcode_score	barcode_full_arrangement	front_score	rear_score	front_begin_index	front_foundseq_length	rear_end_index	rear_foundseq_length	kit	variant
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch108_read1_strand.fast5	057d7052-d8c6-47d2-b29e-e5fd60e54d6f	c84e1b3b351694f5ea8585eb5e8d11e136f15159	108	6.09775	1.14225	887	0.0	887	1.14225	887	317	7.709	-0.0005	unclassified	38.313724517822266	RLB04	38.313724517822266	17.882352828979492	112	35	107	32	RLB	n/a
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch107_read69_strand.fast5	15c014a7-97c1-49cb-9803-c4d208c1dc8c	c84e1b3b351694f5ea8585eb5e8d11e136f15159	107	89.15925	2.9305	2231	0.11475	2231	2.81575	2231	1338	12.096	-0.0007	barcode02	83.55931854248047	BC02_var1	83.55931854248047	38.96666717529297	37	61	0	43	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch100_read29_strand.fast5	181508dd-5b12-48d6-9b63-d38bc854febd	c84e1b3b351694f5ea8585eb5e8d11e136f15159	100	40.29375	1.4235	813	0.41975	813	1.00375	813	534	9.482	-0.0012	barcode05	63.38983154296875	BC05_var1	63.38983154296875	16.46666717529297	28	61	105	42	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch107_read57_strand.fast5	1dc61e67-5cd0-447e-b788-dfad75bc206c	c84e1b3b351694f5ea8585eb5e8d11e136f15159	107	80.24875	1.637	1265	0.0	1265	1.637	1265	652	12.503	-0.0014	unclassified	44.93333435058594	BC04_var1	19.288135528564453	44.93333435058594	0	38	0	52	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch100_read27_strand.fast5	201fbed0-91dd-440d-9775-9ed47a2337ae	c84e1b3b351694f5ea8585eb5e8d11e136f15159	100	37.4495	1.18125	0	0.0	0	0.0	0	0	0.0	0.0	unclassified	0.0	n/a	-inf	-inf	-1	0	-1	0	n/a	n/a
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch100_read57_strand.fast5	28924ef9-4648-4766-89ab-1b052e5821a1	c84e1b3b351694f5ea8585eb5e8d11e136f15159	100	77.21775	1.322	1001	0.05375	1001	1.26825	1001	528	13.457	-0.0007	barcode07	72.46666717529297	BC07_var2	72.46666717529297	71.72881317138672	30	57	15	52	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch10_read13_strand.fast5	2b29adfe-a8c9-4f61-a3f7-6ea7753b7c29	c84e1b3b351694f5ea8585eb5e8d11e136f15159	10	108.158	1.35225	1049	0.05925	1049	1.293	1049	675	10.023	-0.0017	barcode01	60.40678024291992	BC01_var1	60.40678024291992	25.366666793823242	87	62	65	48	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch107_read11_strand.fast5	2df02c3f-6576-4460-b1ac-90ae83cefd5f	c84e1b3b351694f5ea8585eb5e8d11e136f15159	107	18.7475	1.9415	1517	0.03025	1517	1.91125	1517	981	12.419	-0.0007	barcode02	80.43333435058594	BC02_var2	80.43333435058594	46.84745788574219	2	54	0	48	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch107_read61_strand.fast5	2eadccc4-134f-4c6e-88d2-f739a2501eb8	c84e1b3b351694f5ea8585eb5e8d11e136f15159	107	83.9355	1.385	1081	0.02525	1081	1.35975	1081	632	11.317	-0.0017	barcode07	87.01695251464844	BC07_var1	87.01695251464844	46.20000076293945	27	54	2	46	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch107_read23_strand.fast5	3c84935d-5cea-47e0-91f7-5b5a24da6ea8	c84e1b3b351694f5ea8585eb5e8d11e136f15159	107	33.5865	1.89925	1489	0.01775	1489	1.8815	1489	825	12.297	-0.0015	barcode04	74.03389739990234	BC04_var1	74.03389739990234	66.53333282470703	11	55	8	57	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch104_read53_strand.fast5	3cf85384-1e44-4d69-acf4-9227c933ba37	c84e1b3b351694f5ea8585eb5e8d11e136f15159	104	108.317	2.11425	1658	0.0875	1658	2.02675	1658	1065	9.865	-0.0012	barcode02	66.88135528564453	BC02_var1	66.88135528564453	50.599998474121094	20	58	0	48	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch107_read43_strand.fast5	3e5baab4-0302-412d-b382-207ad5b3ec7e	c84e1b3b351694f5ea8585eb5e8d11e136f15159	107	60.94725	4.62025	3540	0.116	3540	4.50425	3540	1522	11.311	-0.0008	barcode07	69.53333282470703	BC07_var2	69.53333282470703	42.98305130004883	32	60	0	40	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch100_read43_strand.fast5	4399db43-230d-4e0c-9214-f00805630339	c84e1b3b351694f5ea8585eb5e8d11e136f15159	100	61.55075	1.50325	0	0.0	0	0.0	0	0	0.0	0.0	unclassified	0.0	n/a	-inf	-inf	-1	0	-1	0	n/a	n/a
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch107_read35_strand.fast5	4456f31d-353a-4fd5-b38e-c0554e7ea8dd	c84e1b3b351694f5ea8585eb5e8d11e136f15159	107	52.666	5.34975	3991	0.29575	3991	5.054	3991	2320	11.779	-0.0007	barcode07	64.96666717529297	BC07_var2	64.96666717529297	36.0	24	52	1	39	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch100_read41_strand.fast5	4a98b4e0-e061-44d7-9325-c4a80200c115	c84e1b3b351694f5ea8585eb5e8d11e136f15159	100	54.4255	4.17725	3014	0.3515	3014	3.82575	3014	1712	10.472	-0.0014	unclassified	51.79661178588867	BC05_var1	51.79661178588867	47.233333587646484	1	56	1	49	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch107_read31_strand.fast5	5692a76d-4b22-4d7e-ada9-b80bceae862d	c84e1b3b351694f5ea8585eb5e8d11e136f15159	107	48.5875	1.79625	1422	0.0	1422	1.79625	1422	660	11.474	-0.0004	unclassified	51.050846099853516	BC05_var2	12.600000381469727	51.050846099853516	12	40	0	39	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch100_read25_strand.fast5	5a25bd4a-a705-4fff-ae81-d26164a819a0	c84e1b3b351694f5ea8585eb5e8d11e136f15159	100	32.461	1.97775	1438	0.164	1438	1.81375	1438	792	12.62	-0.0017	barcode02	91.86666870117188	BC02_var2	91.86666870117188	31.593219757080078	26	59	3	37	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch107_read19_strand.fast5	75049085-9033-4644-9b5d-f307959ed415	c84e1b3b351694f5ea8585eb5e8d11e136f15159	107	27.882	1.4035	0	0.0	0	0.0	0	0	0.0	0.0	unclassified	0.0	n/a	-inf	-inf	-1	0	-1	0	n/a	n/a
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch100_read45_strand.fast5	8161cc58-7bab-475e-be59-81a9385abaa7	c84e1b3b351694f5ea8585eb5e8d11e136f15159	100	64.23375	2.98025	2343	0.03375	2343	2.9465	2343	1228	11.639	-0.0018	unclassified	52.66666793823242	BC07_var1	34.74576187133789	52.66666793823242	5	49	0	53	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch107_read5_strand.fast5	865d1966-546a-456f-b173-a2afadf2c9a1	c84e1b3b351694f5ea8585eb5e8d11e136f15159	107	8.34525	3.35425	2625	0.0	2625	3.35425	2625	1047	12.496	-0.0012	barcode05	62.813560485839844	BC05_var2	59.233333587646484	62.813560485839844	0	47	2	44	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch107_read13_strand.fast5	88417f1e-e53d-43ac-ab00-a8b7a3f4fbbd	c84e1b3b351694f5ea8585eb5e8d11e136f15159	107	21.80725	1.95775	1205	0.42525	1205	1.5325	1205	676	12.615	-0.0006	barcode07	86.37287902832031	BC07_var1	86.37287902832031	84.13333129882812	28	58	15	54	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch110_read38_strand.fast5	8ae3948a-c93f-4cdc-b173-3c80a4f85ef6	c84e1b3b351694f5ea8585eb5e8d11e136f15159	110	108.68875	1.2275	939	0.03925	939	1.18825	939	505	8.463	-0.0011	unclassified	36.871795654296875	NB06_var1	36.871795654296875	17.91111183166504	115	26	9	36	NB	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch103_read49_strand.fast5	9009f220-bcba-40ff-99ec-dbf8442cd069	c84e1b3b351694f5ea8585eb5e8d11e136f15159	103	104.7695	5.758	4402	0.051	4402	5.707	4402	406	6.241	-0.0015	barcode02	82.30508422851562	BC02_var1	82.30508422851562	2.9666666984558105	65	54	11	53	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch100_read11_strand.fast5	9140712f-7ed4-4174-9f66-c74f91b8633f	c84e1b3b351694f5ea8585eb5e8d11e136f15159	100	14.8935	1.2775	1005	0.02825	1005	1.24925	1005	510	10.219	-0.0021	barcode02	72.37287902832031	BC02_var2	53.83333206176758	72.37287902832031	38	62	45	63	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch100_read73_strand.fast5	9ed9d538-f872-4e32-b0a0-3979a7e51cc0	c84e1b3b351694f5ea8585eb5e8d11e136f15159	100	93.83475	2.42225	1859	0.0435	1859	2.37875	1859	421	9.135	-0.0013	barcode03	60.20338821411133	BC03_var2	34.599998474121094	60.20338821411133	65	47	14	56	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch100_read23_strand.fast5	a0c8b305-f9e6-4100-9f23-d2d35862e9e2	c84e1b3b351694f5ea8585eb5e8d11e136f15159	100	29.845	1.4075	1097	0.0	1097	1.4075	1097	453	11.63	-0.0014	barcode02	79.93220520019531	BC02_var2	21.733333587646484	79.93220520019531	5	33	46	62	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch104_read50_strand.fast5	a685ea1f-924a-4077-8386-a58fe2dce9fd	c84e1b3b351694f5ea8585eb5e8d11e136f15159	104	106.05425	1.75825	1050	0.42225	1050	1.336	1050	598	10.563	-0.0025	barcode05	76.61016845703125	BC05_var1	76.61016845703125	71.69999694824219	34	54	5	55	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch107_read71_strand.fast5	b5f80858-3feb-4a79-bbb2-c8a6f6b8bc9c	c84e1b3b351694f5ea8585eb5e8d11e136f15159	107	93.8235	2.16875	1585	0.1485	1585	2.02025	1585	934	12.079	-0.0008	barcode07	66.69999694824219	BC07_var2	66.69999694824219	52.74576187133789	32	57	0	42	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch100_read39_strand.fast5	c45b8898-d791-4583-8af5-789e3d19985a	c84e1b3b351694f5ea8585eb5e8d11e136f15159	100	50.92725	1.77525	1309	0.12175	1309	1.6535	1309	741	10.861	-0.0019	unclassified	57.53333282470703	BC07_var2	57.53333282470703	48.74576187133789	21	51	0	40	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch107_read29_strand.fast5	c4649352-452b-40df-99cd-c648174c08e6	c84e1b3b351694f5ea8585eb5e8d11e136f15159	107	44.96575	3.00275	2326	0.0555	2326	2.94725	2326	1265	11.689	-0.0012	barcode05	71.89830780029297	BC05_var2	65.66666412353516	71.89830780029297	27	52	4	50	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch107_read73_strand.fast5	c6a1c131-bed5-4812-bf08-6debc83a7dd0	c84e1b3b351694f5ea8585eb5e8d11e136f15159	107	96.15875	2.2685	1628	0.238	1628	2.0305	1628	947	11.142	-0.0008	barcode04	83.59322357177734	BC04_var2	72.63333129882812	83.59322357177734	15	51	13	55	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch107_read9_strand.fast5	d0349b51-2ae6-4510-b5d9-d7cfc04883e0	c84e1b3b351694f5ea8585eb5e8d11e136f15159	107	15.228	1.43975	922	0.2585	922	1.18125	922	551	13.058	-0.001	barcode05	91.43333435058594	BC05_var2	91.43333435058594	86.0	28	61	23	56	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch100_read7_strand.fast5	d2ccde83-fc76-4863-97af-c6687646e3d9	c84e1b3b351694f5ea8585eb5e8d11e136f15159	100	9.5355	1.45275	1078	0.09125	1078	1.3615	1078	560	11.935	-0.0012	barcode01	69.05084991455078	BC01_var1	69.05084991455078	27.700000762939453	29	59	0	32	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch100_read71_strand.fast5	d97f477d-5372-4cfd-a61d-31fb6385348d	c84e1b3b351694f5ea8585eb5e8d11e136f15159	100	92.2485	1.563	1193	0.03475	1193	1.52825	1193	449	10.501	-0.0022	unclassified	42.60377502441406	LWB03_var2	42.60377502441406	22.264150619506836	0	38	13	56	LBW	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch107_read51_strand.fast5	e8c9cf27-3ab9-425b-97ed-c3617568bd61	c84e1b3b351694f5ea8585eb5e8d11e136f15159	107	74.88325	1.561	1068	0.225	1068	1.336	1068	633	9.898	-0.0015	unclassified	40.06666564941406	BC21_var2	40.06666564941406	23.559322357177734	110	39	85	45	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch100_read13_strand.fast5	e8e45660-a0af-4cb9-aa38-ca0589ded42e	c84e1b3b351694f5ea8585eb5e8d11e136f15159	100	19.1295	1.8685	1367	0.12675	1367	1.74175	1367	777	13.377	-0.001	barcode05	65.2203369140625	BC05_var2	64.16666412353516	65.2203369140625	1	47	0	45	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch100_read37_strand.fast5	f3dec366-03d7-4735-979d-bbbcb9d6672d	c84e1b3b351694f5ea8585eb5e8d11e136f15159	100	48.41125	1.13475	794	0.124	794	1.01075	794	464	10.55	-0.0019	barcode04	73.32203674316406	BC04_var1	73.32203674316406	59.66666793823242	23	61	13	56	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch107_read45_strand.fast5	f533d44c-4827-456a-ac0d-bd62b80f9f7e	c84e1b3b351694f5ea8585eb5e8d11e136f15159	107	67.80975	3.324	2569	0.11825	2569	3.20575	2569	999	10.024	-0.0008	barcode05	63.966102600097656	BC05_var2	48.233333587646484	63.966102600097656	32	64	15	53	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch100_read51_strand.fast5	f7451cc4-ff2d-4c9f-abe4-cf48b753adf1	c84e1b3b351694f5ea8585eb5e8d11e136f15159	100	69.9115	1.70025	1119	0.249	1119	1.45125	1119	400	11.597	-0.0019	barcode07	67.72881317138672	BC07_var1	67.72881317138672	17.266666412353516	29	61	23	34	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch107_read27_strand.fast5	fc640554-ceb8-42d8-ad74-f5981664cc98	c84e1b3b351694f5ea8585eb5e8d11e136f15159	107	42.193	1.283	945	0.0805	945	1.2025	945	534	10.964	-0.0004	barcode03	85.62712097167969	BC03_var2	29.33333396911621	85.62712097167969	13	58	10	58	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch111_read46_strand.fast5	06ad467d-c185-4f76-b597-f3369bdbace3	c84e1b3b351694f5ea8585eb5e8d11e136f15159	111	67.27875	1.236	856	0.1815	856	1.0545	856	457	8.971	-0.0015	unclassified	45.15254211425781	BC02_var1	45.15254211425781	21.233333587646484	20	49	103	33	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch113_read1_strand.fast5	082684da-e772-49ba-8cca-eaa685465e7f	c84e1b3b351694f5ea8585eb5e8d11e136f15159	113	5.91875	1.40875	979	0.15775	979	1.251	979	554	12.881	-0.0018	barcode05	91.18643951416016	BC05_var1	91.18643951416016	46.86666488647461	31	60	1	42	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch112_read31_strand.fast5	1380d2d1-14d4-4f2f-ba2c-43b133f7fc4f	c84e1b3b351694f5ea8585eb5e8d11e136f15159	112	42.989	1.32625	938	0.1225	938	1.20375	938	551	13.319	-0.0011	barcode01	90.98304748535156	BC01_var2	62.099998474121094	90.98304748535156	75	57	65	56	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch112_read43_strand.fast5	197dbb1f-b5bd-4335-902b-d07b9689ddd5	c84e1b3b351694f5ea8585eb5e8d11e136f15159	112	55.93525	1.4065	959	0.17525	959	1.23125	959	429	11.599	-0.0019	barcode02	82.71186065673828	BC02_var2	27.600000381469727	82.71186065673828	32	57	41	59	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch111_read78_strand.fast5	27724487-1e6c-4628-bd41-3c939f05e37c	c84e1b3b351694f5ea8585eb5e8d11e136f15159	111	91.598	1.2275	957	0.0285	957	1.199	957	521	8.444	-0.0031	unclassified	48.25640869140625	NB10_var2	10.933333396911621	48.25640869140625	15	34	83	27	NB	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch112_read55_strand.fast5	284e6b72-7e9f-48a5-9b9e-e6f1d712d7f4	c84e1b3b351694f5ea8585eb5e8d11e136f15159	112	64.984	1.1585	797	0.1575	797	1.001	797	442	13.506	-0.002	barcode06	86.16949462890625	BC06_var1	86.16949462890625	57.53333282470703	85	58	45	62	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch112_read12_strand.fast5	2930f41d-5f2a-4d52-a272-b83a570a85e5	c84e1b3b351694f5ea8585eb5e8d11e136f15159	112	23.42725	1.12875	726	0.19175	726	0.937	726	412	13.318	-0.0011	barcode02	91.76271057128906	BC02_var1	91.76271057128906	36.900001525878906	20	58	0	38	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch112_read41_strand.fast5	2eddc131-616e-4f06-8b3b-788198d6e464	c84e1b3b351694f5ea8585eb5e8d11e136f15159	112	54.1965	1.56325	1222	0.0	1222	1.56325	1222	689	11.239	-0.0012	barcode02	78.7796630859375	BC02_var1	78.7796630859375	31.5	48	59	53	46	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch113_read5_strand.fast5	31b472c0-0434-411b-9d25-bc7c06b91888	c84e1b3b351694f5ea8585eb5e8d11e136f15159	113	11.698	1.85275	1372	0.087	1372	1.76575	1372	814	13.944	-0.001	barcode04	94.16666412353516	BC04_var2	94.16666412353516	52.71186447143555	26	60	0	40	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch113_read49_strand.fast5	34a6fb2f-621c-4a9f-a327-53129fd78f4b	c84e1b3b351694f5ea8585eb5e8d11e136f15159	113	56.17175	4.2745	3148	0.26625	3148	4.00825	3148	1753	12.197	-0.0008	barcode42	60.93333435058594	BC42_var1	41.050846099853516	60.93333435058594	1	41	0	44	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch113_read44_strand.fast5	36767598-c3c4-4e0b-9998-797801dfe9d5	c84e1b3b351694f5ea8585eb5e8d11e136f15159	113	50.261	1.631	1261	0.02325	1261	1.60775	1261	654	10.821	-0.0016	barcode04	71.96610260009766	BC04_var1	71.96610260009766	28.96666717529297	22	65	3	30	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch111_read21_strand.fast5	4a62ed52-917c-4de2-aeef-baff793a6fc2	c84e1b3b351694f5ea8585eb5e8d11e136f15159	111	21.92425	1.141	899	0.02025	899	1.12075	899	336	8.414	-0.0022	barcode02	60.0	NB02_var1	60.0	6.666666507720947	53	39	32	43	NB	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch113_read75_strand.fast5	51c7d6a3-4d18-4659-84be-da4bf29ac8d3	c84e1b3b351694f5ea8585eb5e8d11e136f15159	113	80.62625	1.56025	703	0.64975	703	0.9105	703	396	12.647	-0.0006	barcode01	93.86441040039062	BC01_var1	93.86441040039062	52.70000076293945	90	59	19	47	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch111_read75_strand.fast5	5248a60e-9b93-4e19-9799-dcaa2a6ebf88	c84e1b3b351694f5ea8585eb5e8d11e136f15159	111	90.10825	1.227	992	0.015	992	1.212	992	559	8.213	-0.0031	unclassified	40.779659271240234	BC86_var2	23.100000381469727	40.779659271240234	25	40	17	43	BC	var2
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch113_read21_strand.fast5	53464c0d-f392-4558-bd73-5f4693cce370	c84e1b3b351694f5ea8585eb5e8d11e136f15159	113	28.59175	1.71675	1182	0.21675	1182	1.5	1182	566	11.244	-0.0014	unclassified	39.3220329284668	BC01_var1	39.3220329284668	26.399999618530273	0	40	0	48	BC	var1
dnacpc14_20170328_FNFAF04250_MN17734_mux_scan_1D_validation_test1_45344_ch111_read32_strand.fast5	53f4fad3-0aa7-47fb-a407-b001b3779b85	c84e1b3b351694f5ea8585eb5e8d11e136f15159	111	35.9325	3.9015	3091	0.02825	3091	3.87325	3091	1159	8.605	-0.001	unclassified	37.599998474121094	BC79_var2	37.599998474121094	7.796610355377197	37	42	66	57	BC	var2
